"BTC
Bitcoin","ETH
Ethereum","BNB
BNB","XRP
XRP","USDT
Tether","ADA
Cardano","DOT
Polkadot","LTC
Litecoin","UNI
Uniswap","LINK
ChainLink","XLM
Stellar","BCH
Bitcoin Cash","THETA
Theta Token","FIL
Filecoin","USDC
USD Coin","DOGE
Dogecoin","TRX
TRON","VET
VeChain","WBTC
Wrapped Bitcoin"
"59,635.55","2,150.75",492.43,1.35,1.0,1.24,40.52,250.97,30.02,34.2,59.291,681.94,12.29,175.68,1.0,71.222,12.339,136.282,"59,631.99"
"59,691.35","2,152.44",493.29,1.34,1.0,1.24,40.66,250.07,30.04,34.32,59.159,681.43,12.32,175.55,1.0,71.149,12.351,136.038,"59,686.98"
"59,623.57","2,150.65",492.38,1.34,1.0,1.24,40.62,249.61,30.01,34.07,59.152,680.78,12.28,175.54,1.0,,12.265,135.886,"59,654.66"
"59,651.09","2,149.99",492.78,1.35,1.0,1.24,41.22,249.41,29.96,33.97,58.988,678.33,12.32,175.67,1.0,71.314,12.433,135.663,"59,643.20"
"59,557.40","2,139.56",493.86,1.33,1.0,1.24,40.95,247.09,29.87,33.54,58.911,672.87,12.29,176.37,1.0,72.899,12.205,135.974,"59,532.05"
"59,487.98","2,132.86",491.68,1.33,1.0,1.24,40.68,245.09,29.78,33.39,59.333,671.13,12.39,175.73,1.0,,,135.879,"59,467.19"
"59,603.50","2,140.40",491.7,1.33,1.0,1.24,41.02,247.74,29.82,33.58,59.327,674.41,12.43,176.1,1.0,75.913,,137.302,"59,578.71"
"59,852.51","2,146.09",499.05,1.35,1.0,1.25,41.11,249.65,30.04,33.76,59.955,678.39,12.37,176.64,1.0,,,138.879,"59,829.28"
"59,811.94","2,146.11",499.4,1.35,1.0,1.25,41.16,248.85,30.09,33.81,59.415,678.23,12.39,177.73,1.0,73.302,121.81,,"59,790.23"
"59,841.93","2,148.80",502.28,1.35,1.0,1.26,41.13,248.89,30.16,34.05,606.47,675.58,12.33,177.68,1.0,73.612,122.02,,"59,832.52"
"59,760.67","2,144.69",506.03,1.36,1.0,1.27,41.01,248.6,30.12,34.11,0.60361,674.12,12.41,178.04,1.0,0.073955,0.140131,"59,745.49",0.121370
"59,833.26","2,147.55",502.11,1.36,1.0,1.27,41.22,250.42,30.33,34.05,0.60197,676.78,12.48,177.81,1.0,0.0745,0.141373,"59,801.16",0.121670
"59,848.30","2,151.42",502.4,1.37,1.0,1.26,41.28,250.69,30.29,34.17,0.60387,680.23,12.52,177.8,1.0,0.075082,0.141836,"59,835.15",0.121850
"60,003.75","2,154.32",503.36,1.37,1.0,1.26,41.36,250.1,30.38,34.05,0.60612,681.71,12.52,176.8,1.0,0.075483,0.140919,"59,988.60",0.121230
"59,966.22","2,155.33",499.66,1.38,1.0,1.27,41.22,251.84,30.28,33.92,0.60819,682.39,12.53,177.79,1.0,0.074122,0.140841,"59,958.70",0.121730
"59,807.68","2,155.09",499.92,1.36,1.0,1.26,41.22,250.89,30.27,33.95,0.601,683.34,12.46,177.94,1.0,0.074313,0.140204,"59,796.55",0.121150
"59,696.19","2,142.84",499.69,1.4,1.0,1.26,41.02,250.31,30.26,33.74,0.60375,682.2,12.44,177.1,1.0,0.073708,0.139005,"59,670.41",0.121240
"59,689.47","2,144.18",500.39,1.41,1.0,1.26,41.01,250.25,30.31,33.78,0.59948,682.66,12.34,176.85,1.0,0.074174,0.139358,0.122290,"59,691.70"
"59,755.05","2,146.54",501.43,1.4,1.0,1.27,41.1,251.4,30.28,33.79,0.60059,682.53,12.38,176.68,1.0,0.075431,0.140601,0.121980,"59,724.24"
"59,640.89","2,143.87",502.84,1.39,1.0,1.27,41.26,249.72,30.29,34.03,0.60568,680.0,12.37,176.72,1.0,0.075962,0.140093,0.122030,"59,630.83"
"59,576.82","2,143.47",504.1,1.39,1.0,1.27,41.48,250.5,30.35,33.94,0.61112,680.31,12.36,176.18,1.0,0.075868,0.140276,0.122700,"59,556.54"
"59,643.67","2,141.28",502.26,1.4,1.0,1.27,41.36,249.19,30.37,33.82,0.61272,679.57,12.31,176.4,1.0,0.075478,0.141862,0.122610,"59,616.85"
"59,576.32","2,135.72",502.53,1.4,1.0,1.27,41.17,247.79,30.29,33.61,0.61263,676.42,12.27,176.34,1.0,0.077107,0.140093,0.122620,"59,547.53"
"59,616.94","2,135.63",504.35,1.38,1.0,1.27,41.05,248.01,30.31,33.71,0.60204,676.14,12.21,177.46,1.0,0.078246,0.141454,"59,608.71",0.121260
"59,577.15","2,134.37",508.14,1.37,1.0,1.27,41.08,247.21,30.28,33.69,0.59976,673.91,12.22,177.32,1.0,0.078223,0.140825,0.121540,"59,557.62"
"59,583.96","2,134.14",514.58,1.36,1.0,1.28,41.11,247.31,30.38,33.56,0.59662,673.76,12.21,176.69,1.0,0.076091,0.140405,"59,564.93",0.120780
"60,029.47","2,143.56",513.14,1.37,1.0,1.29,41.32,250.09,30.6,33.85,0.60293,680.02,12.25,176.48,1.0,0.075709,0.141174,"60,025.12",0.120780
"59,822.70","2,137.13",519.76,1.37,1.0,1.29,41.3,248.88,30.58,33.91,0.59949,682.11,12.25,177.62,1.0,0.07555,0.140745,"59,818.59",0.121350
"60,086.96","2,144.86",523.21,1.37,1.0,1.28,41.83,250.12,29.97,34.21,0.59977,686.92,12.24,177.96,1.0,0.074257,0.139723,"60,027.18",0.121590
"59,916.42","2,142.01",520.74,1.36,1.0,1.28,41.48,248.86,29.96,33.92,0.59375,687.33,12.22,179.63,1.0,0.074577,0.139933,"59,914.46",0.121480
"59,919.36","2,141.75",518.59,1.36,1.0,1.27,41.26,248.74,29.88,33.8,0.59342,688.8,12.19,179.9,1.0,0.07588,0.140204,"59,892.19",0.121940
"59,950.22","2,142.07",519.59,1.35,1.0,1.26,41.26,252.48,29.83,33.72,0.58601,685.48,12.19,178.24,1.0,0.075226,0.138951,"59,956.25",0.121000
"60,049.81","2,152.89",526.15,1.35,1.0,1.27,41.34,253.03,29.93,33.91,0.5841,690.27,12.21,179.16,1.0,0.074334,0.139545,0.122190,"59,980.79"
"59,885.91","2,148.63",524.31,1.35,1.0,1.27,41.17,250.96,29.92,33.8,0.59078,685.32,12.22,178.65,1.0,0.073229,0.12437,0.137915,"59,860.84"
"59,710.95","2,140.38",524.49,1.34,1.0,1.27,41.04,249.18,29.88,33.6,0.60274,682.93,12.21,177.82,1.0,0.073251,0.12404,0.137876,"59,687.88"
"59,708.49","2,138.99",523.38,1.33,1.0,1.28,40.98,249.39,29.86,33.53,0.59853,681.35,12.22,177.15,1.0,0.073634,0.12489,0.137453,"59,681.42"
"59,756.00","2,138.71",524.28,1.32,1.0,1.28,40.98,249.27,29.79,33.5,0.58947,679.46,12.21,177.41,1.0,0.074875,0.12642,0.137216,"59,738.18"
"59,760.00","2,137.31",524.77,1.33,1.0,1.28,41.03,249.3,29.77,33.52,0.58992,680.47,12.21,177.62,1.0,0.074397,0.12653,0.137187,"59,740.88"
"59,854.73","2,138.81",523.87,1.34,1.0,1.28,40.96,248.81,29.6,33.47,0.59124,680.45,12.23,177.45,1.0,0.074664,0.12844,0.136486,"59,807.12"
"59,856.73","2,140.01",519.16,1.35,1.0,1.27,40.87,250.41,29.64,33.56,0.58818,681.99,12.28,177.56,1.0,0.074077,0.12947,0.136695,"59,843.73"
"59,916.94","2,142.21",519.45,1.35,1.00,1.28,40.97,250.02,29.64,33.61,0.591150,682.66,12.33,177.55,1.00,0.073420,0.130790,0.136731,"59,897.76"
